feature;feature.descriptive;feature.description
fBodyAccJerk-std()-X;frequency.domain.body.accelerometer.jerk.standard.deviation.x;Mean value of the frequency domain signals of the body Jerk acceleration signal standard deviation in X direction in standard gravity units 'g'
fBodyAccJerk-std()-Y;frequency.domain.body.accelerometer.jerk.standard.deviation.y;Mean value of the frequency domain signals of the body Jerk acceleration signal standard deviation in Y direction in standard gravity units 'g'
fBodyAccJerk-std()-Z;frequency.domain.body.accelerometer.jerk.standard.deviation.z;Mean value of the frequency domain signals of the body Jerk acceleration signal standard deviation in Z direction in standard gravity units 'g'
fBodyAccJerk-meanFreq()-X;frequency.domain.body.accelerometer.jerk.mean.value.frequency.x;Mean value of the frequency domain signals of the body Jerk acceleration signal frequency mean value in X direction in standard gravity units 'g'
fBodyAccJerk-meanFreq()-Y;frequency.domain.body.accelerometer.jerk.mean.value.frequency.y;Mean value of the frequency domain signals of the body Jerk acceleration signal frequency mean value in Y direction in standard gravity units 'g'
fBodyAccJerk-meanFreq()-Z;frequency.domain.body.accelerometer.jerk.mean.value.frequency.z;Mean value of the frequency domain signals of the body Jerk acceleration signal frequency mean value in Z direction in standard gravity units 'g'
fBodyGyro-mean()-X;frequency.domain.body.gyroscope.mean.value.x;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal mean value in X direction in radians/second
fBodyGyro-mean()-Y;frequency.domain.body.gyroscope.mean.value.y;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal mean value in Y direction in radians/second
fBodyGyro-mean()-Z;frequency.domain.body.gyroscope.mean.value.z;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal mean value in Z direction in radians/second
fBodyGyro-std()-X;frequency.domain.body.gyroscope.standard.deviation.x;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal standard deviation in X direction in radians/second
fBodyGyro-std()-Y;frequency.domain.body.gyroscope.standard.deviation.y;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal standard deviation in Y direction in radians/second
fBodyGyro-std()-Z;frequency.domain.body.gyroscope.standard.deviation.z;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal standard deviation in Z direction in radians/second
fBodyGyro-meanFreq()-X;frequency.domain.body.gyroscope.mean.value.frequency.x;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal frequency mean value in X direction in radians/second
fBodyGyro-meanFreq()-Y;frequency.domain.body.gyroscope.mean.value.frequency.y;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal frequency mean value in Y direction in radians/second
fBodyGyro-meanFreq()-Z;frequency.domain.body.gyroscope.mean.value.frequency.z;Mean value of the time frequency signals of the body gyroscope angular velocity vector signal frequency mean value in Z direction in radians/second
fBodyAccMag-mean();frequency.domain.body.accelerometer.magnitude.mean.value;Mean value of the frequency domain signals of the magnitude of the body acceleration signal mean value in standard gravity units 'g'
fBodyAccMag-std();frequency.domain.body.accelerometer.magnitude.standard.deviation;Mean value of the frequency domain signals of the magnitude of the body acceleration signal standard deviation in standard gravity units 'g'
fBodyAccMag-meanFreq();frequency.domain.body.accelerometer.magnitude.mean.value.frequency;Mean value of the frequency domain signals of the magnitude of the body acceleration signal frequency mean value in standard gravity units 'g'
fBodyBodyAccJerkMag-mean();frequency.domain.body.accelerometer.jerk.magnitude.mean.value;Mean value of the frequency domain signals of the magnitude of the body Jerk acceleration signal mean value in standard gravity units 'g'
fBodyBodyAccJerkMag-std();frequency.domain.body.accelerometer.jerk.magnitude.standard.deviation;Mean value of the frequency domain signals of the magnitude of the body Jerk acceleration signal standard deviation standard gravity units 'g'
fBodyBodyAccJerkMag-meanFreq();frequency.domain.body.accelerometer.jerk.magnitude.mean.value.frequency;Mean value of the frequency domain signals of the magnitude of the body Jerk acceleration signal frequency mean value in standard gravity units 'g'
fBodyBodyGyroMag-mean();frequency.domain.body.gyroscope.magnitude.mean.value;Mean value of the time frequency signals of the magnitude of the body gyroscope angular velocity vector signal mean value in radians/second
fBodyBodyGyroMag-std();frequency.domain.body.gyroscope.magnitude.standard.deviation;Mean value of the time frequency signals of the magnitude of the body gyroscope angular velocity vector signal standard deviation in radians/second
fBodyBodyGyroMag-meanFreq();frequency.domain.body.gyroscope.magnitude.mean.value.frequency;Mean value of the time frequency signals of the magnitude of the body gyroscope angular velocity vector signal frequency mean value in radians/second
fBodyBodyGyroJerkMag-mean();frequency.domain.body.gyroscope.jerk.magnitude.mean.value;Mean value of the time frequency signals of the magnitude of the body Jerk gyroscope angular velocity vector signal mean value in radians/second
fBodyBodyGyroJerkMag-std();frequency.domain.body.gyroscope.jerk.magnitude.standard.deviation;Mean value of the time frequency signals of the magnitude of the body Jerk gyroscope angular velocity vector signal deviation in radians/second
fBodyBodyGyroJerkMag-meanFreq();frequency.domain.body.gyroscope.jerk.magnitude.mean.value.frequency;Mean value of the time frequency signals of the magnitude of the body Jerk gyroscope angular velocity vector signal frequency mean value in radians/second
fBodyBodyGyroJerkMag-meanFreq();frequency.domain.body.gyroscope.jerk.magnitude.mean.value.frequency;Mean value of the time frequency signals of the magnitude of the body Jerk gyroscope angular velocity vector signal frequency mean value in radians/second
subject.id;subject.id;An identifier of the subject who carried out the experiment.
activity.name;activity.name;Activity label (WALKING, WALKING_UPSTAIRS, WALKING_DOWNSTAIRS, SITTING, STANDING, LAYING) 
